# code	candidate1	candidate2	...
# Generated by: make update-sucheng-snapshot
# Locks Quick Classic Sucheng first-page ordering for alphabetic one/two-key codes.
a	日	曰
b	月
c	金
d	木
e	水
f	火
g	土
h	竹
i	戈
j	十
k	大	乂
l	中
m	一
n	弓
o	人
p	心
q	手
r	口
s	尸
t	廿
u	山
v	女
w	田
y	卜
aa	昌	晶	暑	間	暗	曙	昍	暙	闍
ab	明	晞	晴	閒	昺	晡	暠	暪	曘
ac	暝	闐	題	曠	顥	顯	晪	暊	曊
ad	杲	昧	閑	旴	冔	暆	閫	闑	㫲
ae	曼	最	暇	暖	暴	曖	曝	昄	昅
af	景	晾	照	煦	暸	闌	闖	炅	炚
ag	旺	量	閏	閨	曜	堲	晊	塈	暀
ah	易	閉	暘	影	昒	昐	昜	晜	晹
ai	昤	時	閎	閩	閥	曇	旳	昡	戥
aj	早	旱	暉	暈	聞	曄	闡	闢	旰
ak	昊	映	閔	闋	旲	旼	旻	猒	暌
al	即	昂	昕	晰	閘	昦	昴	郿	鄤
am	旦	昀	星	閂	晅	暄	暨	閆	暡
an	門	剔	旯	昑	昲	閌	閅
ao	是	曷	晁	閃	歇	閡	闕	昃	欥
ap	昆	匙	悶	曬	昵	曨
aq	闈	暐	暽	韙	闥	㫠
ar	昭	晌	問	晤	晷	閣	閤	暱	閭
as	昨	勗	曦	昉	昈	昮	晟	晇	勖
at	昇	昱	開	盟	闔	關	閞	暟	曀
au	巴	冒	既	眉	晃	冕	晚	閱	曉
av	艮	晏	晨	暍	曩	閬	闤	㫰	妟
aw	晒	闣	閪
ax	閻	閰
ay	晦	閼
ba	脂	睹	貊	賭	膾	贈	胉	眴	腊
bb	朋	肺	骨	脯	睛	賄	膈	冪	瞞
bc	貝	具	冥	腆	瞑	瞋	膩	賺	賸
bd	孚	爭	采	脖	睏	睬	睜	瞇	髁
be	受	服	肢	股	爰	販	愛	腹	腺
bf	炙	祭	然	賒	膘	瞟	縣	瞧	瞭
bg	肚	眶	睦	睢	腫	貍	膛	墾	瞠
bh	彤	盼	眇	豺	財	彩	彫	腸	膠
bi	肘	肱	冠	冤	眩	豹	腑	膊	賤
bj	罕	肝	軍	脾	睥	賊	辭	盰	肸
bk	奚	朕	胭	胸	敗	腋	睽	膜	瞰
bl	胛	腳	鼎	肵	盺	胂	眒	胹	郥
bm	且	肛	胚	胝	腔	腥	睡	賦	囗
bn	冗	刖	肌	刪	盯	則	剛	胰	貯
bo	冢	眨	眺	豚	腴	貶	睫	睞	賅
bp	眠	腮	懇	臆	懸	朧	矓	腍	膍
bq	用	胖	眸	舜	腱	瞬	眻	貄	膦
br	同	周	胎	胴	胳	貂	貼	貽	貉
bs	凸	肋	助	肪	胯	勝	膀	贓	臟
bt	冊	皿	胼	脰	瞌	瞪	臚	髒	體
bu	甩	目	見	乳	岡	肥	肫	盹	胞
bv	妥	罔	脈	眼	脤	脹	腰	腿	賑
bw	腦	瞄	貓	腷	膰	冨	腖
bx	舀	臍
by	丹	腓	脢	円	胩
ca	曾	鉑	錯	鈤	銆	鍺	錩	錔	錉
cb	鈉	鈽	銷	鋪	錦	鎬	鎘	鏑	鑰
cc	釜	貧	頒	頌	鋇	鎖	鎮	鐮	鑽
cd	銖	錚	鎳	鑠	釪	釨	鉌	銤	銌
ce	鈑	鈹	錄	鍍	鍛	鍰	鏝	鑤	鈒
cf	鍊	鍬	鎢	鏢	鏍	鑣	炃	鈥	鳻
cg	鈕	銓	銼	鋰	錐	鍾	鏜	鏗	鐘
ch	分	弟	鈔	鉍	銻	錫	鍚	釤	釮
ci	公	釵	釣	釩	鈴	鉉	錢	鏘	鐲
cj	針	鋅	鋒	銲	鏈	鐸	鑷	釬	鈄
ck	父	鈸	鉸	鎂	鍥	鏃	攽	敓	釱
cl	丫	斧	卻	釧	爺	鉀	鉚	弚	邠
cm	翁	釭	鈞	鉗	錘	鏟	鉦	鉭	鉏
cn	剃	爹	釘	釗	鈐	瓮	釔	釕	釚
co	欲	欽	鈇	錠	釽	鉯	鈲	銚	鋏
cp	忿	慾	錕	釴	鈊	鈚	鉈	鈮	鈱
cq	鍵	谻	鉡	鉾	鍏	鏻	鐽	銉	鎿
cr	谷	釦	鈷	鉛	鉤	銅	銘	鉻	鋁
cs	兮	鈣	鉅	銬	鋤	鍔	鎊	鐫	釢
ct	盆	鉼	錳	鎰	鑑	鑪	弅	鈃	鋀
cu	兌	岔	爸	鈍	鉋	銑	銳	鋼	鏡
cv	銀	銨	錶	鏤	鑲	釹	鉞	銥	鋃
cw	鈾	鈿	錙	錨	鐳	鐺	鎦	鐇	鑭
cx	鏽	錎	鍤	鑇	䤾
cy	釙	鉲	鉖	鋂	䤵
da	杳	柏	楮	楷	槽	檜	櫓	栒	栺
db	柿	柄	梢	桶	棘	棗	棉	棚	槁
dc	棋	楨	槓	頗	橫	賴	檳	櫃	櫝
dd	李	林	株	梱	棵	森	榛	樑	橾
de	皮	枝	板	梭	梂	棣	椒	樣	隸
df	杯	杰	柬	紮	棕	焚	楝	禁	標
dg	杜	枉	柱	框	桂	栓	梃	椎	榷
dh	才	材	杉	杪	枴	彬	梯	楊	鬱
di	寸	村	杓	松	梵	棧	韌	楓	槐
dj	末	杆	杵	枓	枰	梓	桿	棹	楠
dk	杖	枚	校	敕	梗	楔	模	樊	橄
dl	束	析	柳	柙	梆	榔	椰	槨	櫛
dm	本	杠	柑	查	柢	桓	栩	植	極
dn	刺	杭	杼	剌	栘	桁	榆	檸	刌
do	來	柩	核	桃	楚	樅	樸	橡	檢
dp	枇	棍	想	懋	麓	欐	朼	杙	杺
dq	韋	棒	攀	杽	柈	揧	楗	椲	舝
dr	杏	枯	柯	枸	桔	桐	格	梧	棺
ds	朽	枋	柞	楞	榜	榨	朸	杇	枍
dt	柵	械	楹	橙	檻	枅	枻	柆	栟
du	札	杞	枕	杷	相	梳	桅	皰	梔
dv	根	婪	棲	樓	櫻	桉	桹	桭	桵
dw	東	柚	棟	榴	檔	檣	欄	栖	椔
dx	樁	韜	槄	橚	櫅	櫹	桕
dy	朴	柝	梅	柊	栴	棜	棑	榧	檌
ea	汨	泊	洵	渚	湣	漕	潛	澗	汩
eb	沛	洧	消	浦	涓	涌	清	淪	淆
ec	泗	洪	淇	淦	滇	演	漬	潰	潠
ed	汙	池	沐	沬	染	柒	桑	浮	梁
ee	沒	汲	泳	波	浸	浚	淑	涵	渡
ef	涼	淙	淡	源	滅	漂	漯	漁	潦
eg	汪	注	浬	涅	涯	淫	淮	渥	湮
eh	沙	汾	泌	涕	涉	湯	渺	滲	澎
ei	叉	汐	汍	汎	汰	法	泓	泠	蚤
ej	汁	汗	汛	沫	洱	淬	湃	渾	滓
ek	決	沃	汶	泱	洶	液	淚	湊	渙
el	沖	沂	泖	洲	浙	淵	淅	湎	漸
em	江	沍	沮	泜	洹	涇	涎	渲	渣
en	汀	汽	沆	沸	洌	涔	涮	湔	測
eo	泅	泛	洮	浹	涿	漩	漢	漱	濠
ep	沁	沘	沱	泥	泯	洩	涊	添	混
eq	洋	津	泮	洚	洠	浶	挲	湋	湕
er	河	沽	沾	沼	沿	治	洞	活	洽
es	污	沔	湧	渤	滂	氻	汸	泐	洰
et	泣	泄	洫	盜	溢	溘	溫	澄	澧
eu	氾	汕	沈	沉	沅	沌	況	泡	流
ev	汝	派	娑	浪	婆	淒	湛	渴	裟
ew	油	酒	淄	溜	潘	瀋	瀾	沺	洒
ex	滔	濟	瀟	淊	潚	㳫
ey	汴	海	淤	泝	洀	灖	渄
fa	粕	嘗	熾	燴	糟	焟	粨	熠	糌
fb	肖	炳	脊	常	烯	幣	精	糊	燸
fc	烘	煩	賞	糞	類	烡	熐	熉	頖
fd	米	籽	棠	煤	榮	燦	燥	爍	灺
fe	叛	煆	煖	燮	燬	糠	爆	粄	焌
ff	炎	煉	熒	粽	燎	燃	糕	縈	燻
fg	灶	堂	雀	塋	煙	煌	瑩	糧	耀
fh	少	券	炒	粉	煬	糝	灱	粅	焍
fi	灼	炫	螢	燭	糰	炂	炩	籿	燖
fj	料	焊	烽	粹	輝	炓	籵	籸	粁
fk	尖	敉	敝	敞	煥	粳	燉	燠	糢
fl	鄰	炘	粌	郯	炠
fm	粗	煽	灴	炟	炡	烜	烒	烴	烻
fn	判	炕	削	彆	弮	籺	剡	烆	瓽
fo	炊	豢	燧	尐	烑	烗	烼	欻	焮
fp	焜	熄	燜	斃	烢	憋	熝	熜	燱
fq	半	拳	烊	掌	犖	燐	牶	揱	煒
fr	尚	炯	炤	烙	焙	熔	糖	營	糙
fs	劣	炬	炸	烤	勞	粔	爔	炉	㶭
ft	粒	煜	弊	燈	燼	爐	烅	粣	焺
fu	光	卷	炮	省	眷	氅	燒	瞥	炖
fv	煨	裳	籹	烺	嫈	煁	嫳	粻	粼
fw	當	爛	粞	煪	燔	醟	糷	粬	畑
fx	焰	熽	爓	熖
fy	炵	烞	烸	㸆
ga	堵	增	赭	馨	堷	韾	堦
gb	冉	埔	堉	趙	幫	壩	埇	埽	堋
gc	赤	填	赫	墳	賣	頡	壙	贅	埧
gd	地	圩	垀	垛	垺	埻	堔	堁	埩
ge	圾	坡	赧	報	殼	鼓	穀	趣	轂
gf	坏	塢	熬	熱	熹	壎	燾	埮	堜
gg	圭	埋	堆	墊	臺	坴	垤	垚	埕
gh	場	彭	趁	坋	埸	赻	趀	墋	声
gi	去	寺	封	執	塊	塒	壽	螫	圴
gj	坪	幸	埠	埤	趕	聱	聲	鼙	毐
gk	埂	埃	敖	赦	堠	塽	墩	坱	垘
gl	圳	圻	坤	赳	郝	邽	邿	垹	墎
gm	址	均	坩	坦	垣	域	壺	塌	墟
gn	坑	圢	圪	坅	刲	坲	垿	埁	堬
go	坎	走	垓	堤	款	塚	壕	垗	欯
gp	志	懿	坁	坭	坨	垞	恚	塨	塶
gq	墀	摯	坢	垟	垏	埲	犎	摮	摰
gr	吉	坷	垢	培	喜	堝	超	嗇	塘
gs	圬	劫	坊	城	垮	勢	劼	坳	赲
gt	垃	盍	壹	塭	壴	塏	墱	壏	壒
gu	圯	起	堯	境	罄	趨	瞽	鼇	圠
gv	垠	袁	喪	堪	堰	越	壞	壤	垵
gw	墦	埬	堛	塯	趥	墻	墙	壋
gx	埳	壛
gy	坍	卦	坼	赴	鼕
ha	白	昏	徇	香	舶	筍	箔	箸	稽
hb	帛	肩	帥	師	稍	稀	策	犒	稱
hc	貿	須	箕	與	質	積	興	頹	輿
hd	乎	禾	朱	朵	牠	釆	季	竽	徐
he	反	役	彼	後	段	泉	皈	叟	殷
hf	系	秋	烏	鳥	毯	鳳	禦	篤	鵝
hg	壬	牡	往	皇	重	凰	徨	程	筐
hh	身	物	秒	秘	第	穆	穋	穢	颺
hi	凡	么	丟	夙	舟	卵	我	私	的
hj	千	卑	阜	拜	科	竿	皋	秤	秣
hk	夭	囪	戾	牧	秧	笑	臭	啟	皎
hl	斤	卯	印	卹	所	秉	邸	卿	御
hm	氐	生	征	竺	垂	牲	牴	徑	扇
hn	几	行	利	刮	制	剁	彿	衍	航
ho	八	爪	乏	失	瓜	欣	臾	徒	秩
hp	氏	牝	皂	乖	忝	怎	乘	息	舐
hq	牛	律	徉	犁	掣	筆	毽	肇	舉
hr	各	向	后	舌	吞	告	和	咎	徊
hs	戶	乍	彷	秀	房	舫	動	笮	甥
ht	升	血	扁	笠	算	艋	皚	盤	盥
hu	毛	卮	先	自	禿	兒	爬	秈	看
hv	委	很	裊	鼠	製	簑	簍	穠	魍
hw	留	笛	番	釉	穡	鼬	籀	籣	徆
hx	臼	稻	簫	臿	穧	艩
hy	冬	斥	徘	扉	靠	箊	篚	馡	鼨
ia	昶	庴	廜	廥	禬	询	禇	黁	间
ib	甫	席	朗	庸	廟	膺	禸	凊	廗
ic	朮	麻	貳	廉	祺	資	禎	廣	賡
id	床	凜	糜	麋	祂	庥	枲	凈	庨
ie	永	冰	求	度	凌	康	廄	皴	廈
if	為	庶	戚	馮	熊	鳶	鷓	鷹	炱
ig	社	准	庭	座	塵	庄	庢	凐	隿
ih	戊	祕	參	廖	尨	庌	庬	禓	参
ii	戍	冷	府	麼	廚	禱	魔	麝	戔
ij	戎	庫	禪	庳	軬	祽	禈	廦	禫
ik	犬	矣	祆	救	廠	敷	犮	冹	祅
il	州	祁	祈	郎	神	廊	廓	臧	鄘
im	式	戌	底	或	祉	祖	祗	冱	彧
in	划	序	冽	瓷	廁	麂	庈	剆	瓵
io	之	次	庚	庾	腐	凝	蹙	庂	庣
ip	弋	庇	怠	祇	恣	能	鹿	惑	感
iq	牟	庠	祥	摩	麟	禕	犘	廨	廯
ir	台	冶	店	咨	咸	凋	唐	祐	祠
is	成	祚	礽	祊	门	户
it	弁	戒	盛	盞	禮	廬	庰	盚	祴
iu	允	尤	庖	祀	祝	庵	廂	視	麾
iv	良	姿	威	裘	禳	戉	凄	祣	祳
iw	凍	畚	福	庮	廇	廧	庙
ix	麡
iy	靡
ja	者	耆	宿	暫	窨
jb	帘	宥	胡	宵	寓	朝	輔	輛	輪
jc	穴	真	寅	賁	實	賓	戴	賽	額
jd	未	字	宇	孝	孛	宋	案	栽	寐
je	支	寇	寂	寢	輟	軗	寑	寖	嘏
jf	宗	索	煮	察	寮	寫	窯	鴣	繫
jg	室	窒	耋	塞	輊	塹	截	窪	釐
jh	穿	寡	寥	宓	軫	剺	轇	輰	窃
ji	守	宏	軔	專	麥	博	戟	蜜	寬
jj	廾	車	南	宰	軒	辜	幹	載	斡
jk	丈	吏	故	突	教	窗	較	寞	輳
jl	宦	斬	都	麵	宧	窌	郣	郪	輀
jm	士	宜	直	空	宣	翅	軾	輕	翰
jn	究	事	穹	剋	軌	剜	乾	割	寧
jo	定	家	窕	軟	軼	麩	疌	宨	窆
jp	它	宅	老	惠	輥	憲	寵	軝	悹
jq	牢	搴	犛	擊	韓	轔	甯	麰	车
jr	古	官	哉	客	害	宮	容	寄	窘
js	考	協	勃	窄	窈	勀	宬	寯	麪
jt	卉	寍	軿	轀	轞	轤	麷	穽	䀄
ju	七	克	完	宛	軋	耄	軏	密	軛
jv	安	妻	宴	宸	裁	輞	寰	輾	轅
jw	宙	富	軸	審	輜	輻	酨	輶	轓
jx	窞	轁
jy	寒	輈
ka	旭	奢	猖	奭	旮	瘏	痻	瘖	獪
kb	布	有	希	肴	狷	病	脅	帶	猜
kc	狽	賀	痲	頰	獷	獺	癩	癲	狖
kd	存	架	猓	猙	痳	狳	猱	痚	獉
ke	友	疫	疲	殺	痠	瘦	瘢	獲	狻
kf	灰	狄	奈	疢	痰	鳩	駕	療	鵪
kg	在	狂	奎	狸	痊	雄	玀	癱	尪
kh	疹	瘍	犽	猀	痧	痝	獩	瘳	犭
ki	丸	太	狩	套	痔	奪	瘋	獨	厹
kj	瘁	痺	獐	瘴	癖	犴	狨	耷	猝
kk	爻	狡	疾	爽	猴	獄	瘓	癥	猰
kl	尬	狎	疥	郁	夼	狆	奅	狾	郟
km	左	狙	症	疳	疽	疸	猩	痙	弒
kn	九	刈	夷	疙	剎	痍	痢	瘉	獰
ko	夾	狐	疚	狹	瓠	獗	癡	狣	疺
kp	疵	痣	勰	癒	癮	疕	狔	狫	疧
kq	癬	羍	痒	獬	痈	癴
kr	加	右	奇	狗	痂	痞	痴	奩	瘩
ks	力	夸	癆	夯	劦	痄	疞
kt	奔	猛	盔	痘	瘟	尷	狦	疶	獈
ku	尢	犯	奄	疝	疤	疣	匏	癌	狁
kv	狠	狼	痕	袈	猥	猿	痿	獵	癢
kw	猶	瘤	奮	癗	猫
kx	癠
ky	疼	瘀	痱	犿	痗
la	帕	書	褚	幟	褶	蚎	衵	帾	袙
lb	巾	冑	胄	背	蛹	補	蜻	牖	蝴
lc	幀	費	貴	順	頫	冀	螟	鬨	牘
ld	蛛	牒	裸	蝶	褓	衧	衪	蚞	袘
le	版	被	幔	蝦	複	帔	沊	蚑	衱
lf	鴆	螞	鴦	螺	襟	朄	裧	幠	幜
lg	衽	帷	蛀	蛙	蛭	蜓	裡	幢	蝗
lh	初	衫	蚜	暢	蜴	虭	蚡	衯	袗
li	帆	虫	蚣	蛉	蛾	褥	蟲	蟻	襪
lj	蚪	蚌	牌	蜂	幛	裨	蝌	輩	褲
lk	史	央	蚊	袂	斐	蛟	袱	蜈	數
ll	川	片	申	串	邶	蚓	蜥	螂	邥
lm	虹	韭	晝	蚶	蛆	蚯	袒	畫	幗
ln	弗	鬥	蜊	劃	蝓	褕	帄	刜	虰
lo	兆	蠍	蠔	帙	蚨	蚇	衭	蛈	蛌
lp	北	曳	忠	衹	患	蛇	悲	蟋	襬
lq	聿	羋	幃	牉	袢	蛘	蛑	袶	蝆
lr	帖	蛄	蚵	蛔	蛤	蛞	裙	裕	蜘
ls	蚱	螃	甹	蚷	蚴	袎	牓	蟧	袴
lt	盅	盎	盡	蜢	蟒	襤	蠱	帡	蛢
lu	儿	胤	袍	帽	幌	蛻	蜆	覜	蜿
lv	虻	婁	帳	裴	褐	褪	螻	褸	蠟
lw	由	袖	幅	蛐	幡	蝠	蟠	襠	丳
lx	肅	幍	蜭	蠐	蠨	牐
ly	非	褂	蚸	裶	蝳	虾	袇	虲	蚒
ma	百	珀	厝	晉	殉	豬	醋	曆	珣
mb	丙	再	玥	珮	砸	脣	硝	瑚	瑞
mc	頁	貢	頂	琪	項	碰	碘	賈	頑
